Scrum Quiz,
Which description is a best fit for Scrum?,A1
An abstract class is which of the following?,A2
Which one of the following explains the following statement? Same operation may apply to two or more classes.,A3
Which of the following statement is true concerning objects and/or classes?,A4
Composition is a stronger form of which of the following?,A5
A UML diagram includes which of the following?,A6
Which one describes Waterfall?,A7
Aggregation is which of the following?,A8
The benefits of object-oriented modeling are which of the following?,A9
Which one is a best fit for iterative and evolutionary development life cycle like Unified Process (UP) ?,A10
